cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md5-families-r24-c4-p1-3-4-16.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md5-families-r24-c5-p2-7-8-15-19.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf,hordesat,default,UNSATISFIABLE,50.17
cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md5-families-r24-c8-p0-3-5-6-14-16-18-19.cnf,hordesat,default,UNKNOWN,10000
CNP-5-0.cnf,hordesat,default,UNKNOWN,10000
CNP-5-1000.cnf,hordesat,default,UNKNOWN,10000
CNP-5-100.cnf,hordesat,default,UNKNOWN,10000
CNP-5-1100.cnf,hordesat,default,UNKNOWN,10000
CNP-5-1200.cnf,hordesat,default,UNKNOWN,10000
CNP-5-1300.cnf,hordesat,default,UNKNOWN,10000
CNP-5-1400.cnf,hordesat,default,UNKNOWN,10000
CNP-5-1500.cnf,hordesat,default,UNKNOWN,10000
CNP-5-1600.cnf,hordesat,default,UNKNOWN,10000
CNP-5-1700.cnf,hordesat,default,UNKNOWN,10000
CNP-5-1800.cnf,hordesat,default,UNKNOWN,10000
CNP-5-1900.cnf,hordesat,default,UNKNOWN,10000
CNP-5-200.cnf,hordesat,default,UNKNOWN,10000
CNP-5-300.cnf,hordesat,default,UNKNOWN,10000
CNP-5-400.cnf,hordesat,default,UNKNOWN,10000
CNP-5-500.cnf,hordesat,default,UNKNOWN,10000
CNP-5-600.cnf,hordesat,default,UNKNOWN,10000
CNP-5-700.cnf,hordesat,default,UNKNOWN,10000
CNP-5-800.cnf,hordesat,default,UNKNOWN,10000
CNP-5-900.cnf,hordesat,default,UNKNOWN,10000
commutativity3.c.cnf,hordesat,default,UNKNOWN,10000
commutativity.c.cnf,hordesat,default,UNKNOWN,10000
course0.12_2018_3_1.cnf,hordesat,default,SATISFIABLE,390.74
course0.12_2018_3_3.cnf,hordesat,default,UNKNOWN,10000
