benchmark,solver,configuration,wallclock time,status,result
NoLimit/Porkhunov/mchess_15.cnf.bz2,ReasonLS,default_nodrup,85.243129015,complete,UNSAT
NoLimit/Porkhunov/mchess_15.cnf.bz2,ReasonLS_h,default,864.87599206,complete,UNSAT
NoLimit/Porkhunov/mchess_15.cnf.bz2,Riss7.1,NOLIMIT,1822.82565498,complete,UNSAT
NoLimit/Porkhunov/mchess_15.cnf.bz2,smallsat,default,127.494365931,complete,UNSAT
NoLimit/Porkhunov/mchess_15.cnf.bz2,Sparrow2Riss-2018,NOLIMIT,2365.0932529,complete,UNSAT
NoLimit/Porkhunov/mchess_15.cnf.bz2,YalSAT,default,5000.43527699,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_16.cnf.bz2,abcdsat_r18,nolimit,876.727967978,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,cms55-nolimits-v19,default,2945.27734613,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,cms55-nolimits-autotune-v19,default,1964.25448704,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,cms55-nolimits-gluebreak-v19,default,1962.74579191,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,cms55-nolimits-otherconf-v20,default,2011.30644298,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,glu_mix,default,541.481701851,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,glucose-3.0_PADC_10_NoDRUP,default,2036.13239503,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,glucose-3.0_PADC_3_NoDRUP,default,4799.01301908,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,gluHack,default,2646.33359003,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,abcdsat_n18,default,2179.98049378,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,BreakIDGlucose,default,2235.28204513,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,BreakIDGlucoseSEL,default,2978.52199697,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,CaDiCaL,default,223.783923864,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,Candy,default,2792.68250799,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,Candy,agile,2125.52356505,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,COMiniSatPS_Pulsar_no_drup,no_drup,1376.404706,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,CPSparrow,default,5000.29860282,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_16.cnf.bz2,expGlucoseSilent,default,5000.26252317,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_16.cnf.bz2,GHackCOMSPS_no_drup,ghack_no_drup,4228.78662515,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,Glucose_Hack_Kiel_fastBVE,default,2231.24701595,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,Lingeling,default,0.0115308761597,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,Maple_CM,default,432.32760191,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,Maple_CM_Dist,default,686.234210014,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,Maple_CM_ordUIP,default,739.965546846,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,Maple_CM_ordUIP+,default,842.152767897,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,MapleCOMSPS_CHB_VSIDS_no_drup,CHB_VSIDS_no_drup,1361.19668698,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2_no_drup_fix,LRB_VSIDS_2_no_drup,1253.22839904,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,MapleCOMSPS_LRB_VSIDS_no_drup,LRB_VSIDS_no_drup,815.633216858,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,ReasonLS,default_nodrup,617.154804945,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,ReasonLS_h,default,1380.21516514,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,Riss7.1,NOLIMIT,3034.89317203,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,smallsat,default,1146.68805504,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,Sparrow2Riss-2018,NOLIMIT,3831.78569388,complete,UNSAT
NoLimit/Porkhunov/mchess_16.cnf.bz2,YalSAT,default,5000.44211197,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,abcdsat_r18,nolimit,1475.46836185,complete,UNSAT
NoLimit/Porkhunov/mchess_17.cnf.bz2,cms55-nolimits-v19,default,5000.06188893,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,cms55-nolimits-autotune-v19,default,5000.79923606,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,cms55-nolimits-gluebreak-v19,default,5001.00909805,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,cms55-nolimits-otherconf-v20,default,5001.00802708,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,glu_mix,default,2031.93762589,complete,UNSAT
NoLimit/Porkhunov/mchess_17.cnf.bz2,glucose-3.0_PADC_10_NoDRUP,default,5000.61598706,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,glucose-3.0_PADC_3_NoDRUP,default,5000.52146411,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,gluHack,default,5001.010077,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,abcdsat_n18,default,3286.11694002,complete,UNSAT
NoLimit/Porkhunov/mchess_17.cnf.bz2,BreakIDGlucose,default,5000.43111491,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,BreakIDGlucoseSEL,default,5000.15452695,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,CaDiCaL,default,5000.69012499,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,Candy,default,5000.47274399,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,Candy,agile,5000.75506496,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,COMiniSatPS_Pulsar_no_drup,no_drup,5000.89063096,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,CPSparrow,default,5000.0489769,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,expGlucoseSilent,default,5000.10556817,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,GHackCOMSPS_no_drup,ghack_no_drup,5000.3266921,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,Glucose_Hack_Kiel_fastBVE,default,5001.00882721,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,Lingeling,default,0.0118339061737,complete,UNSAT
NoLimit/Porkhunov/mchess_17.cnf.bz2,Maple_CM,default,1742.63737893,complete,UNSAT
NoLimit/Porkhunov/mchess_17.cnf.bz2,Maple_CM_Dist,default,5000.23155499,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,Maple_CM_ordUIP,default,4460.89735508,complete,UNSAT
NoLimit/Porkhunov/mchess_17.cnf.bz2,Maple_CM_ordUIP+,default,4347.96574783,complete,UNSAT
NoLimit/Porkhunov/mchess_17.cnf.bz2,MapleCOMSPS_CHB_VSIDS_no_drup,CHB_VSIDS_no_drup,5000.70694804,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,MapleCOMSPS_LRB_VSIDS_2_no_drup_fix,LRB_VSIDS_2_no_drup,2905.57663393,complete,UNSAT
NoLimit/Porkhunov/mchess_17.cnf.bz2,MapleCOMSPS_LRB_VSIDS_no_drup,LRB_VSIDS_no_drup,5000.94139099,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,ReasonLS,default_nodrup,2330.09797788,complete,UNSAT
NoLimit/Porkhunov/mchess_17.cnf.bz2,ReasonLS_h,default,5000.94822383,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,Riss7.1,NOLIMIT,5000.08624291,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,smallsat,default,5001.010041,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,Sparrow2Riss-2018,NOLIMIT,5000.0,unkillable,UNKNOWN
NoLimit/Porkhunov/mchess_17.cnf.bz2,YalSAT,default,4999.92642689,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_18.cnf.bz2,abcdsat_r18,nolimit,5001.00788212,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_18.cnf.bz2,cms55-nolimits-v19,default,5001.01586604,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_18.cnf.bz2,cms55-nolimits-autotune-v19,default,5000.29535198,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_18.cnf.bz2,cms55-nolimits-gluebreak-v19,default,5001.00885606,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_18.cnf.bz2,cms55-nolimits-otherconf-v20,default,5000.30904913,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_18.cnf.bz2,glu_mix,default,5000.95491004,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_18.cnf.bz2,glucose-3.0_PADC_10_NoDRUP,default,5000.08227301,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_18.cnf.bz2,glucose-3.0_PADC_3_NoDRUP,default,5000.67563605,timeout(cpu),UNKNOWN
NoLimit/Porkhunov/mchess_18.cnf.bz2,gluHack,default,5001.00992203,timeout(wallclock),UNKNOWN
NoLimit/Porkhunov/mchess_18.cnf.bz2,abcdsat_n18,default,5001.00686717,timeout(cpu),UNKNOWN
